root_id,pathway_type,in_deg,in_strength,sum_w2,mu2_over_mu1sq,norm_robustness,norm_robustness_shuffled,nt_type,primary_type
720575940631821672,T4,43.0,125.0,1097.0,3.018944,4.629403154668262,1.0492136673502326,ACH,T4c
720575940631830083,T4,62.0,202.0,1914.0,2.9082442897755123,4.925313194655865,1.0825024467259032,ACH,T4d
720575940631846324,T4,52.0,163.0,1349.0,2.6402198050359442,4.208332173816139,1.0631950840224609,ACH,T4d
720575940631855687,T4,45.0,129.0,967.0,2.614926987560844,3.823386465720622,1.044584402858329,ACH,T4a
720575940631857208,T4,41.0,132.0,1072.0,2.522497704315886,4.061934181910032,1.0496930904555961,ACH,T4a
720575940631861048,T4,60.0,198.0,1792.0,2.7425772880318333,4.6364416717570665,0.7624720992188624,ACH,T4b
720575940631867715,T4,36.0,108.0,580.0,1.7901234567901234,2.1845751588183897,1.1876981408050935,ACH,T4d
720575940631872569,T4,47.0,137.0,719.0,1.8004688582236668,2.1510397157125527,0.894946277354614,ACH,T4b
720575940631879225,T4,50.0,172.0,1452.0,2.4540292049756625,4.16297518492446,1.1426395543324057,ACH,T4a
720575940631879480,T4,56.0,162.0,1422.0,3.034293552812071,4.636028035535194,0.7267925561811118,ACH,T4d
720575940631881784,T4,34.0,122.0,910.0,2.07874227358237,3.3777863098050016,0.671212397237935,ACH,T4a
720575940631883883,T4,59.0,185.0,1199.0,2.066939371804237,2.9485291287116424,0.9284557757056584,ACH,T4c
720575940631885964,T4,35.0,86.0,504.0,2.385073012439156,2.9241871626942433,1.1134914225842758,ACH,T4c
720575940631886378,T4,12.0,30.0,142.0,1.8933333333333333,2.0521383779724847,0.717027339332684,,T4c
720575940631887464,T4,55.0,155.0,1059.0,2.424349635796046,3.397048271665807,1.0786183253486925,,T4d
720575940631888524,T4,35.0,99.0,601.0,2.146209570451995,2.845477122364544,1.0558621506364807,ACH,T4b
720575940631894238,T4,35.0,86.0,594.0,2.810978907517577,3.6344842251470277,1.421991439175727,,T4b
720575940631895352,T4,49.0,160.0,1762.0,3.372578125,5.852920024292487,0.7109002774671365,ACH,T4c
720575940631897362,T4,32.0,79.0,477.0,2.4457618971318698,3.0422555260769375,0.6763972159047816,ACH,T4d
720575940631906360,T4,52.0,148.0,1148.0,2.7253469685902116,4.005889733239384,0.7750536091364043,ACH,T4c
720575940631909037,T4,46.0,142.0,1406.0,3.2074985121999604,5.251026618156763,1.3829883560690206,ACH,T4a
720575940631913234,T4,43.0,83.0,325.0,2.0285963129626943,1.8280336410436449,1.0195067332466932,ACH,T4c
720575940631915083,T4,42.0,108.0,650.0,2.340534979423868,2.9683314261302365,0.8641187666189108,ACH,T4c
720575940631925305,T4,32.0,83.0,545.0,2.531572071418203,3.337792239865583,1.0964435938572683,ACH,T4b
720575940631929431,T4,35.0,98.0,738.0,2.6895043731778427,3.8794400896915713,0.9962063380093015,ACH,T4a
720575940631935116,T4,39.0,108.0,610.0,2.0396090534979425,2.5688929230050443,1.2444103612013515,ACH,T4c
720575940631937460,T4,62.0,187.0,1387.0,2.459149532443021,3.6911154268849122,1.0098948153450635,ACH,T4d
720575940631938575,T4,33.0,84.0,512.0,2.3945578231292517,3.0380414016391297,0.9134599836771845,ACH,T4c
720575940631944775,T4,61.0,197.0,1717.0,2.698781210543946,4.451591249554683,0.7279883824904317,ACH,T4c
720575940631951756,T4,59.0,195.0,1927.0,2.989953977646285,5.1603108815560645,1.1217967211005098,ACH,T4a
720575940631957049,T4,35.0,128.0,922.0,1.9696044921875,3.140311205745125,1.0725365212326676,ACH,T4a
720575940631958073,T4,32.0,103.0,669.0,2.017909322273541,2.9032362786528254,1.0766478261995094,ACH,T4b
720575940631961657,T4,27.0,70.0,292.0,1.6089795918367347,1.515297161109212,0.9271867728362414,ACH,T4c
720575940631966009,T4,73.0,236.0,2074.0,2.718363975869003,4.497183553088551,0.8031819883985585,ACH,T4b
720575940631971346,T4,46.0,130.0,1064.0,2.896094674556213,4.291018785831189,1.0613026142299742,ACH,T4c
720575940631972559,T4,47.0,105.0,417.0,1.777687074829932,1.6404914034072995,0.6535054362500704,,T4a
720575940631973903,T4,37.0,105.0,893.0,2.9969160997732427,4.48787222172118,0.9469017332496793,,T4d
720575940631974504,T4,71.0,250.0,2528.0,2.871808,5.217480666468115,0.9232935465971759,ACH,T4a
720575940631975505,T4,50.0,153.0,1117.0,2.385834508095177,3.5861312261899494,0.8134545137267607,ACH,T4a
720575940631984170,T4,9.0,13.0,23.0,1.2248520710059172,0.3547187327551665,0.3547187327551665,ACH,T4c
720575940631991749,T4,58.0,140.0,998.0,2.953265306122449,3.796852606710411,0.5787099242684985,ACH,T4c
720575940631999951,T4,58.0,222.0,2146.0,2.5255255255255253,4.787872132731764,0.8898087290671182,ACH,T4a
720575940632003907,T4,39.0,87.0,351.0,1.8085612366230677,1.6949564120220226,0.9991905065176105,ACH,T4b
720575940632007860,T4,68.0,184.0,1522.0,3.056947069943289,4.395079078095084,1.0407869090766455,ACH,T4c
720575940632008007,T4,58.0,186.0,1250.0,2.095617990519135,3.079622662981054,1.2259490651782297,ACH,T4a
720575940632008978,T4,44.0,125.0,827.0,2.328832,3.232158688870136,0.7028090367184033,ACH,T4a
720575940632009007,T4,64.0,205.0,1907.0,2.9041760856632957,4.839256356947122,0.8214561869410023,ACH,T4d
720575940632009908,T4,63.0,212.0,1872.0,2.624065503737985,4.4618193700103825,1.0380177046800727,ACH,T4d
720575940632015427,T4,31.0,85.0,557.0,2.389896193771626,3.2455919703876974,1.053676827076042,ACH,T4c
720575940632025036,T4,73.0,248.0,2604.0,3.090725806451613,5.5051679585418505,1.2517919142447775,ACH,T4c
720575940632032360,T4,39.0,100.0,510.0,1.989,2.292508236723147,0.7320110014994955,,T4c
720575940632042031,T4,35.0,116.0,1434.0,3.729934601664685,6.608213583302138,0.7163317655693692,ACH,T4a
720575940632048780,T4,52.0,154.0,1162.0,2.5478158205430934,3.807718268330353,0.8897399312270197,ACH,T4a
720575940632049804,T4,53.0,127.0,593.0,1.9486018972037944,2.0781883101883962,1.0410058572598413,ACH,T4d
720575940632057425,T4,39.0,108.0,822.0,2.748456790123457,3.947082207584517,1.0932936506826514,,T4d
720575940632067665,T4,35.0,122.0,1042.0,2.4502821822090834,4.206079968903326,1.1735880028413257,ACH,T4a
720575940632070284,T4,56.0,187.0,1479.0,2.3684978123480795,3.8515722831596464,0.9675785714347634,ACH,T4a
720575940632072722,T4,46.0,98.0,542.0,2.5960016659725116,2.8805846268552813,0.6067371038734996,ACH,T4d
720575940632074669,T4,56.0,154.0,1056.0,2.4935064935064934,3.452098570439291,0.9181529048899121,ACH,T4c
720575940632078220,T4,53.0,161.0,995.0,2.0344508313722462,2.788258148103278,0.9588549827655312,ACH,T4a
720575940632079431,T4,38.0,136.0,1642.0,3.37348615916955,6.381662678360311,1.5846434406689807,ACH,T4c
720575940632079540,T4,37.0,89.0,489.0,2.2841812902411314,2.6935221213684986,1.1826137666896177,ACH,T4b
720575940632086343,T4,67.0,207.0,1597.0,2.4971177857126188,3.855093242601793,0.8286001147987909,,T4d
720575940632087948,T4,54.0,180.0,1568.0,2.6133333333333333,4.3986365890802865,0.7457519864469365,ACH,T4a
720575940632091203,T4,40.0,104.0,744.0,2.7514792899408285,3.7281847636090197,1.0319398077404605,ACH,T4d
720575940632104519,T4,50.0,134.0,1014.0,2.823568723546447,3.9599275048661386,1.074831267747694,ACH,T4c
720575940632110543,T4,35.0,84.0,396.0,1.9642857142857142,2.1106699276768355,1.1771281385811174,ACH,T4a
720575940632114191,T4,61.0,198.0,1812.0,2.8194061830425468,4.72543118757646,1.183943057954862,ACH,T4d
720575940632116388,T4,45.0,133.0,1137.0,2.892475549776697,4.466962769800644,0.9923639913072901,ACH,T4b
720575940632120632,T4,37.0,103.0,451.0,1.572909793571496,1.5323833662248063,0.8105020097945222,ACH,T4b
720575940632123020,T4,37.0,114.0,1128.0,3.211449676823638,5.248994412706576,1.0225634252630043,,T4a
720575940632125521,T4,33.0,98.0,914.0,3.140566430653894,4.944306253779072,0.9328023080760546,ACH,T4a
720575940632133992,T4,31.0,86.0,768.0,3.219037317468902,4.772934904892682,0.818606577795853,ACH,T4d
720575940632158767,T4,49.0,135.0,703.0,1.8900960219478737,2.238191353985836,1.0415540442765618,,T4c
